case_id,category,subcategory,difficulty,handwriting_profile,stroke_variant,canvas_region,expected_plain_text,expected_latex,raw_detected_output,normalized_detected_output,detected_latex,confidence,recognition_time_ms,exact_match,semantic_match,structure_match,layout_match,symbol_score,structure_score,spatial_score,overall_score,status,error_types,evidence_path,notes
"basic_arithmetic-001","BASIC_ARITHMETIC","single digit","EASY","CLEAN_STUDENT","normal-order","TOP_LEFT","7","7","7","7","7","0.9841","3805","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-002","BASIC_ARITHMETIC","multi-digit","EASY","FAST_CLASSROOM","reverse-symbol-strokes","TOP_CENTER","108","108","108","108","108","0.8961","2983","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"basic_arithmetic-003","BASIC_ARITHMETIC","negative","EASY","SMALL_COMPACT","delayed-superscript","TOP_RIGHT","-42","-42","-42","-42","-42","1.0","2717","true","true","true","true","1.0","1.0","1.0","1.0","PASS","","rendered-inputs",""
"basic_arithmetic-004","BASIC_ARITHMETIC","decimal","EASY","LARGE_BOARD","fraction-bar-first","CENTER_LEFT","3.14159","3.14159","3_.14159","3_.14159","3_.14159","1.0","3430","false","false","true","true","0.875","1.0","1.0","0.9240625","PARTIAL","","failures/basic_arithmetic-004.png",""
"basic_arithmetic-005","BASIC_ARITHMETIC","addition","EASY","RIGHT_SLANTED","fraction-bar-last","CENTER","12+8","12+8","12+8","12+8","12+8","1.0","3006","true","true","true","true","1.0","1.0","1.0","1.0","PASS","","rendered-inputs",""
"basic_arithmetic-006","BASIC_ARITHMETIC","subtraction","EASY","LEFT_SLANTED","uneven-spacing","CENTER_RIGHT","95-47","95-47","95-47","95-47","95-47","0.9713","2868","true","true","true","true","1.0","1.0","1.0","0.9985650002956391","PASS","","rendered-inputs",""
"basic_arithmetic-007","BASIC_ARITHMETIC","multiplication","EASY","UNEVEN_BASELINE","tilted-baseline","BOTTOM_LEFT","13*9","13*9","13 \times 9","13*9","13 \times 9","0.8961","2795","true","true","true","true","1.0","1.0","1.0","0.9948049992322923","PASS","","rendered-inputs",""
"basic_arithmetic-008","BASIC_ARITHMETIC","division","EASY","VARIABLE_SPACING","overlap-and-correction","BOTTOM_CENTER","144/12","144/12","144/12","144/12","144/12","0.9841","2628","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-009","BASIC_ARITHMETIC","implicit multiplication","EASY","HEAVY_PRESSURE","normal-order","BOTTOM_RIGHT","8(4+3)","8(4+3)","8(4+3)","8(4+3)","8(4+3)","0.9841","3003","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-010","BASIC_ARITHMETIC","percentage","EASY","LIGHT_BROKEN","reverse-symbol-strokes","NEAR_BOUNDARY","25%","25%","25","25","25","0.9841","2277","false","false","true","true","0.6666666666666667","1.0","1.0","0.8542049992084503","WRONG_SYMBOL","","failures/basic_arithmetic-010.png",""
"basic_arithmetic-011","BASIC_ARITHMETIC","ratio","MEDIUM","ROUNDED","delayed-superscript","NEAR_TOOLBAR","3:5","3:5","3:5","3:5","3:5","1.0","2629","true","true","true","true","1.0","1.0","1.0","1.0","PASS","","rendered-inputs",""
"basic_arithmetic-012","BASIC_ARITHMETIC","nested negative","MEDIUM","ANGULAR","fraction-bar-first","TOP_LEFT","18-(-7)","18-(-7)","18-(-7)","18-(-7)","18-(-7)","0.9841","2751","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-013","BASIC_ARITHMETIC","operator precedence","MEDIUM","CROWDED","fraction-bar-last","TOP_CENTER","12+8*4-6/3","12+8*4-6/3","12+8 \times 4-6/3","12+8*4-6/3","12+8 \times 4-6/3","0.8818135","4075","true","true","true","true","1.0","1.0","1.0","0.9940906763076783","PASS","","rendered-inputs",""
"basic_arithmetic-014","BASIC_ARITHMETIC","grouped division","MEDIUM","WIDELY_SPACED","uneven-spacing","TOP_RIGHT","(36+12)/6","(36+12)/6","(36+12)/6","(36+12)/6","(36+12)/6","0.9841","2913","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-015","BASIC_ARITHMETIC","square brackets","MEDIUM","OVERWRITTEN_CORRECTION","tilted-baseline","CENTER_LEFT","[14-3]*5","[14-3]*5","[1 \times-3] \times 5","[1*-3]*5","[1 \times-3] \times 5","0.86352646","3978","false","false","true","true","0.875","1.0","1.0","0.9172388231754303","PARTIAL","DIGIT_CONFUSION","failures/basic_arithmetic-015.png",""
"basic_arithmetic-016","BASIC_ARITHMETIC","decimal points","MEDIUM","MIXED_CASE","overlap-and-correction","CENTER","0.006+1.04","0.006+1.04","0_.006+1_.04","0_.006+1_.04","0_.006+1_.04","1.0","3487","false","false","true","true","0.8333333333333334","1.0","1.0","0.90625","PARTIAL","","failures/basic_arithmetic-016.png",""
"basic_arithmetic-017","BASIC_ARITHMETIC","signed multiplication","MEDIUM","UNUSUAL_STROKE_ORDER","normal-order","CENTER_RIGHT","-7*-8","-7*-8","-7x-8","-7x-8","-7x-8","0.88817155","2704","false","false","true","true","0.8","1.0","1.0","0.8894085776805878","PARTIAL","","failures/basic_arithmetic-017.png",""
"basic_arithmetic-018","BASIC_ARITHMETIC","fraction arithmetic","MEDIUM","SLIGHTLY_SHAKY","reverse-symbol-strokes","BOTTOM_LEFT","1/2+3/4","1/2+3/4","1/2+3/4","1/2+3/4","1/2+3/4","0.85151327","3372","true","true","true","true","1.0","1.0","1.0","0.9925756633281708","PASS","","rendered-inputs",""
