category,total,passed,normalized,partial,failed,not_detected,crashed,pass_rate,exact_rate,semantic_rate,avg_symbol,avg_structure,avg_spatial,avg_confidence,median_ms,p95_ms,most_frequent_error,hardest_profile,worst_region
"BASIC_ARITHMETIC","40","24","0","10","6","0","0","0.6","0.6","0.6","0.8706897269397272","0.925","0.925","0.9411293650284792","3006","4115","DIGIT_CONFUSION","OVERWRITTEN_CORRECTION","CENTER_LEFT"
"ALGEBRAIC_EXPRESSIONS","40","22","0","8","10","0","0","0.55","0.55","0.55","0.8247717192937781","0.925","0.925","0.8199304734405718","3508","5305","LETTER_CONFUSION","RIGHT_SLANTED","CENTER_RIGHT"
"EQUATIONS_INEQUALITIES","40","23","0","9","8","0","0","0.575","0.575","0.575","0.8721805840788038","0.8625","0.85","0.8606041952183372","4022","9139","LETTER_CONFUSION","LEFT_SLANTED","NEAR_TOOLBAR"
"POWERS_SUBSCRIPTS_ROOTS","40","16","0","6","18","0","0","0.4","0.4","0.4","0.7040145312204137","0.61875","0.61875","0.8301409772924475","2945","23375","LETTER_CONFUSION","LARGE_BOARD","BOTTOM_RIGHT"
"FRACTIONS_RATIONAL","40","28","0","4","8","0","0","0.7","0.7","0.7","0.871226082693474","0.8975","0.8875","0.8460428833961486","3051","4627","LETTER_CONFUSION","CROWDED","BOTTOM_LEFT"
"COMPLEX_NUMBERS","40","15","0","12","13","0","0","0.375","0.375","0.375","0.7352928260465027","0.8375","0.825","0.8494257777929306","4573","9710","LETTER_CONFUSION","SMALL_COMPACT","NEAR_BOUNDARY"
"LOG_EXP_SPECIAL","40","19","0","8","13","0","0","0.475","0.475","0.475","0.7806840491379964","0.8458333333333334","0.825","0.7451002801719465","4015","7500","LETTER_CONFUSION","LARGE_BOARD","NEAR_TOOLBAR"
"TRIGONOMETRY","40","23","0","4","13","0","0","0.575","0.6","0.6","0.8070901481433467","0.9125","0.875","0.8181137167490445","4591","8867","LETTER_CONFUSION","HEAVY_PRESSURE","NEAR_TOOLBAR"
"CALCULUS","40","6","0","10","24","0","0","0.15","0.15","0.15","0.6545483463486499","0.655","0.6625000000000001","0.7114288002252579","4790","7701","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
"MATRICES_VECTORS","40","4","0","10","26","0","0","0.1","0.175","0.175","0.5355849175151908","0.4458333333333334","0.475","0.7250277940183878","3771","25627","LETTER_CONFUSION","FAST_CLASSROOM","TOP_CENTER"
"GRAPHS","40","10","10","0","30","1","0","0.25","0.0","0.25","0.19512946472528242","0.5762499999999997","0.975","0.910905428421803","3","6","GRAPH_TYPE_WRONG","LARGE_BOARD","CENTER_LEFT"
"GEOMETRY_DIAGRAMS","40","20","20","0","20","0","0","0.5","0.175","0.5","0.4135157203907204","0.8625","0.8","0.8919811114668846","2","6","SHAPE_TYPE_WRONG","SMALL_COMPACT","CENTER_RIGHT"
"PROBABILITY_STATISTICS","40","3","0","7","30","0","0","0.075","0.075","0.075","0.511115181115181","0.715","0.7166666666666667","0.6800069203882506","3981","28235","LETTER_CONFUSION","CLEAN_STUDENT","CENTER_LEFT"
"SETS_LOGIC","40","1","0","8","31","0","0","0.025","0.025","0.025","0.42808566433566425","0.7666666666666667","0.775","0.6897659542099122","3674","28030","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
