scope,count,median_ms,p90_ms,p95_ms,p99_ms,mean_ms,max_ms,timeouts,crashes
"overall","560","3530","6505","10535","29171","10909.707142857143","3620518","30","0"
"BASIC_ARITHMETIC","40","3006","4075","4115","5419","3176.275","5419","0","0"
"ALGEBRAIC_EXPRESSIONS","40","3508","4929","5305","5992","3508.925","5992","0","0"
"EQUATIONS_INEQUALITIES","40","4022","8367","9139","11566","4688.675","11566","1","0"
"POWERS_SUBSCRIPTS_ROOTS","40","2945","4382","23375","27895","4794.55","27895","3","0"
"FRACTIONS_RATIONAL","40","3051","4403","4627","4895","3307.875","4895","0","0"
"COMPLEX_NUMBERS","40","4573","7234","9710","3620518","95010.575","3620518","2","0"
"LOG_EXP_SPECIAL","40","4015","6472","7500","30741","5511.125","30741","2","0"
"TRIGONOMETRY","40","4591","6419","8867","29171","5495.0","29171","1","0"
"CALCULUS","40","4790","7168","7701","9905","4776.925","9905","0","0"
"MATRICES_VECTORS","40","3771","10535","25627","27415","5931.175","27415","5","0"
"GRAPHS","40","3","4","6","30","4.025","30","0","0"
"GEOMETRY_DIAGRAMS","40","2","6","6","14","3.225","14","0","0"
"PROBABILITY_STATISTICS","40","3981","27665","28235","29954","7789.2","29954","7","0"
"SETS_LOGIC","40","3674","27649","28030","28200","8738.35","28200","9","0"
