case_id,category,subcategory,difficulty,handwriting_profile,stroke_variant,canvas_region,expected_plain_text,expected_latex,raw_detected_output,normalized_detected_output,detected_latex,confidence,recognition_time_ms,exact_match,semantic_match,structure_match,layout_match,symbol_score,structure_score,spatial_score,overall_score,status,error_types,evidence_path,notes
"basic_arithmetic-001","BASIC_ARITHMETIC","single digit","EASY","CLEAN_STUDENT","normal-order","TOP_LEFT","7","7","7","7","7","0.9841","3793","true","true","false","true","1.0","0.0","1.0","0.6992049992084504","WRONG_STRUCTURE","","failures/basic_arithmetic-001.png",""
"basic_arithmetic-002","BASIC_ARITHMETIC","multi-digit","EASY","FAST_CLASSROOM","reverse-symbol-strokes","TOP_CENTER","108","108","108","108","108","0.8961","2509","true","true","false","true","1.0","0.0","1.0","0.6948049992322922","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-002.png",""
"basic_arithmetic-003","BASIC_ARITHMETIC","negative","EASY","SMALL_COMPACT","delayed-superscript","TOP_RIGHT","-42","-42","-42","-42","-42","1.0","2349","true","true","false","true","1.0","0.0","1.0","0.7000000000000001","WRONG_STRUCTURE","","failures/basic_arithmetic-003.png",""
"basic_arithmetic-004","BASIC_ARITHMETIC","decimal","EASY","LARGE_BOARD","fraction-bar-first","CENTER_LEFT","3.14159","3.14159","3_.14159","3_.14159","3_.14159","1.0","2948","false","false","false","true","0.875","0.0","1.0","0.6240625000000001","WRONG_STRUCTURE","","failures/basic_arithmetic-004.png",""
"basic_arithmetic-005","BASIC_ARITHMETIC","addition","EASY","RIGHT_SLANTED","fraction-bar-last","CENTER","12+8","12+8","12+8","12+8","12+8","1.0","2796","true","true","false","true","1.0","0.0","1.0","0.7000000000000001","WRONG_STRUCTURE","","failures/basic_arithmetic-005.png",""
"basic_arithmetic-006","BASIC_ARITHMETIC","subtraction","EASY","LEFT_SLANTED","uneven-spacing","CENTER_RIGHT","95-47","95-47","95-47","95-47","95-47","0.9713","2628","true","true","false","true","1.0","0.0","1.0","0.6985650002956391","WRONG_STRUCTURE","","failures/basic_arithmetic-006.png",""
"basic_arithmetic-007","BASIC_ARITHMETIC","multiplication","EASY","UNEVEN_BASELINE","tilted-baseline","BOTTOM_LEFT","13*9","13*9","13 \times 9","13*9","13 \times 9","0.8961","2653","true","true","false","true","1.0","0.0","1.0","0.6948049992322922","WRONG_STRUCTURE","","failures/basic_arithmetic-007.png",""
"basic_arithmetic-008","BASIC_ARITHMETIC","division","EASY","VARIABLE_SPACING","overlap-and-correction","BOTTOM_CENTER","144/12","144/12","144/12","144/12","144/12","0.9841","2992","true","true","true","true","1.0","1.0","1.0","0.9992049992084504","PASS","","rendered-inputs",""
"basic_arithmetic-009","BASIC_ARITHMETIC","implicit multiplication","EASY","HEAVY_PRESSURE","normal-order","BOTTOM_RIGHT","8(4+3)","8(4+3)","8(4+3)","8(4+3)","8(4+3)","0.9841","4064","true","true","false","true","1.0","0.0","1.0","0.6992049992084504","WRONG_STRUCTURE","","failures/basic_arithmetic-009.png",""
"basic_arithmetic-010","BASIC_ARITHMETIC","percentage","EASY","LIGHT_BROKEN","reverse-symbol-strokes","NEAR_BOUNDARY","25%","25%","25","25","25","0.9841","2330","false","false","false","true","0.6666666666666667","0.0","1.0","0.5342049992084503","WRONG_STRUCTURE","STROKE_ORDER_SENSITIVE","failures/basic_arithmetic-010.png",""
"basic_arithmetic-011","BASIC_ARITHMETIC","ratio","MEDIUM","ROUNDED","delayed-superscript","NEAR_TOOLBAR","3:5","3:5","3:5","3:5","3:5","1.0","2901","true","true","false","true","1.0","0.0","1.0","0.7000000000000001","WRONG_STRUCTURE","","failures/basic_arithmetic-011.png",""
"basic_arithmetic-012","BASIC_ARITHMETIC","nested negative","MEDIUM","ANGULAR","fraction-bar-first","TOP_LEFT","18-(-7)","18-(-7)","18-(-7)","18-(-7)","18-(-7)","0.9841","2921","true","true","false","true","1.0","0.0","1.0","0.6992049992084504","WRONG_STRUCTURE","","failures/basic_arithmetic-012.png",""
