category,total,passed,normalized,partial,failed,not_detected,crashed,pass_rate,exact_rate,semantic_rate,avg_symbol,avg_structure,avg_spatial,avg_confidence,median_ms,p95_ms,most_frequent_error,hardest_profile,worst_region
"BASIC_ARITHMETIC","40","8","0","3","29","0","0","0.2","0.6","0.6","0.8706897269397272","0.275","0.925","0.9411293650284792","3348","4297","STROKE_ORDER_SENSITIVE","CLEAN_STUDENT","TOP_LEFT"
"ALGEBRAIC_EXPRESSIONS","40","15","0","7","18","0","0","0.375","0.55","0.55","0.8247717192937781","0.6","0.925","0.8199304734405718","3542","5693","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
"EQUATIONS_INEQUALITIES","40","23","0","7","10","0","0","0.575","0.575","0.575","0.8278995383271699","0.8125","0.8","0.857742523153623","4041","10031","LETTER_CONFUSION","LEFT_SLANTED","NEAR_TOOLBAR"
"POWERS_SUBSCRIPTS_ROOTS","40","16","0","6","18","0","0","0.4","0.4","0.4","0.7040145312204137","0.61875","0.61875","0.8301409772924475","3430","28810","LETTER_CONFUSION","LARGE_BOARD","BOTTOM_RIGHT"
"FRACTIONS_RATIONAL","40","28","0","2","10","0","0","0.7","0.7","0.7","0.871226082693474","0.8474999999999999","0.8875","0.8460428833961486","3596","5103","LETTER_CONFUSION","CROWDED","BOTTOM_LEFT"
"COMPLEX_NUMBERS","40","14","0","11","15","0","0","0.35","0.375","0.375","0.7546403712661409","0.8125","0.875","0.8419824499222968","3202","5678","LETTER_CONFUSION","SMALL_COMPACT","NEAR_BOUNDARY"
"LOG_EXP_SPECIAL","40","13","0","5","22","0","0","0.325","0.475","0.475","0.7806840491379964","0.5708333333333333","0.825","0.7451002801719465","3211","6334","LETTER_CONFUSION","FAST_CLASSROOM","TOP_LEFT"
"TRIGONOMETRY","40","21","0","4","15","0","0","0.525","0.6","0.6","0.8070901481433467","0.7875","0.875","0.8181137167490445","3845","6037","LETTER_CONFUSION","HEAVY_PRESSURE","NEAR_TOOLBAR"
"CALCULUS","40","5","0","6","29","0","0","0.125","0.15","0.15","0.6545483463486499","0.53","0.6625000000000001","0.7114288002252579","4342","7295","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
"MATRICES_VECTORS","40","4","0","10","26","0","0","0.1","0.175","0.175","0.5562992032294766","0.3958333333333333","0.5","0.7163602854266311","3339","25763","MATRIX_ROW_ERROR","FAST_CLASSROOM","TOP_CENTER"
"GRAPHS","40","30","30","0","10","1","0","0.75","0.0","0.75","0.19512946472528242","0.85125","0.975","0.910905428421803","3","4","GRAPH_TYPE_WRONG","LARGE_BOARD","NEAR_TOOLBAR"
"GEOMETRY_DIAGRAMS","40","30","30","0","10","0","0","0.75","0.175","0.75","0.4135157203907204","0.8625","1.0","0.8919811114668846","2","6","SHAPE_TYPE_WRONG","LIGHT_BROKEN","CENTER_RIGHT"
"PROBABILITY_STATISTICS","40","2","0","4","34","0","0","0.05","0.075","0.075","0.5274613349613347","0.47750000000000004","0.7166666666666667","0.6729184818618438","3574","28514","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
"SETS_LOGIC","40","0","0","5","35","0","0","0.0","0.025","0.025","0.42808566433566425","0.36666666666666664","0.775","0.6897659542099122","3530","25783","LETTER_CONFUSION","CLEAN_STUDENT","TOP_LEFT"
