scope,count,median_ms,p90_ms,p95_ms,p99_ms,mean_ms,max_ms,timeouts,crashes
"overall","560","3338","5908","9941","28810","4211.867857142857","31476","28","0"
"BASIC_ARITHMETIC","40","3348","4150","4297","5231","3364.3","5231","0","0"
"ALGEBRAIC_EXPRESSIONS","40","3542","5315","5693","6831","3741.375","6831","0","0"
"EQUATIONS_INEQUALITIES","40","4041","9059","10031","11178","4801.675","11178","3","0"
"POWERS_SUBSCRIPTS_ROOTS","40","3430","4548","28810","30605","5376.25","30605","3","0"
"FRACTIONS_RATIONAL","40","3596","4860","5103","5479","3728.25","5479","0","0"
"COMPLEX_NUMBERS","40","3202","4739","5678","9941","3332.525","9941","0","0"
"LOG_EXP_SPECIAL","40","3211","5376","6334","27196","4588.8","27196","2","0"
"TRIGONOMETRY","40","3845","5403","6037","26395","4471.075","26395","1","0"
"CALCULUS","40","4342","7066","7295","8894","4450.975","8894","0","0"
"MATRICES_VECTORS","40","3339","9428","25763","26649","5320.35","26649","4","0"
"GRAPHS","40","3","3","4","20","3.025","20","0","0"
"GEOMETRY_DIAGRAMS","40","2","5","6","9","2.75","9","0","0"
"PROBABILITY_STATISTICS","40","3574","26036","28514","31476","7521.075","31476","6","0"
"SETS_LOGIC","40","3530","25446","25783","30234","8263.725","30234","9","0"
