expected_symbol,detected_symbol,frequency,impact
"x","X","87","HIGH"
"2","(","28","HIGH"
"c","C","21","HIGH"
"x",")","21","HIGH"
"y","Y","20","HIGH"
"e","E","20","HIGH"
"a","o","19","HIGH"
"x","(","18","HIGH"
"t","+","18","HIGH"
"x","2","17","HIGH"
"(",")","15","HIGH"
"2",")","13","HIGH"
"p","(","13","HIGH"
"l","L","13","HIGH"
"a","A","12","HIGH"
"+","2","11","HIGH"
"-","(","11","HIGH"
"o","0","11","HIGH"
",",".","11","HIGH"
".","_","10","HIGH"
"2","0","10","HIGH"
"t","(","10","HIGH"
")","(","10","HIGH"
"(","c","10","HIGH"
"1",")","10","HIGH"
"r","n","10","HIGH"
"x","1","10","HIGH"
"(","a","10","HIGH"
"s","S","10","HIGH"
"r","R","10","HIGH"
"a","n","10","HIGH"
"[","1","10","HIGH"
")","s","9","MEDIUM"
"n","i","9","MEDIUM"
"1","+","8","MEDIUM"
"d","a","8","MEDIUM"
"(","X","8","MEDIUM"
"=","3","8","MEDIUM"
"=","2","8","MEDIUM"
")","2","8","MEDIUM"
"(","2","8","MEDIUM"
"(","s","8","MEDIUM"
"/",")","8","MEDIUM"
"n","s","8","MEDIUM"
"(","i","8","MEDIUM"
"=","(","8","MEDIUM"
"i","n","8","MEDIUM"
"n","N","8","MEDIUM"
"0","1","7","MEDIUM"
"-","3","7","MEDIUM"
"x","+","7","MEDIUM"
"3","(","7","MEDIUM"
"-","X","7","MEDIUM"
"q","i","7","MEDIUM"
"x","=","7","MEDIUM"
"1","(","7","MEDIUM"
"^",")","7","MEDIUM"
"(","x","7","MEDIUM"
"t","i","7","MEDIUM"
"+","t","7","MEDIUM"
")","=","7","MEDIUM"
"o","O","7","MEDIUM"
")","a","7","MEDIUM"
"]","3","7","MEDIUM"
"x",".","7","MEDIUM"
"x","*","7","MEDIUM"
"0",".","6","MEDIUM"
"4","(","6","MEDIUM"
"x","-","6","MEDIUM"
"^","+","6","MEDIUM"
"n","(","6","MEDIUM"
"=","+","6","MEDIUM"
"^","(","6","MEDIUM"
")","1","6","MEDIUM"
"(","^","6","MEDIUM"
"r","e","6","MEDIUM"
"e","(","6","MEDIUM"
"i",")","6","MEDIUM"
"(","1","6","MEDIUM"
")","x","6","MEDIUM"
"i","_","6","MEDIUM"
"i","a","6","MEDIUM"
"t","r","6","MEDIUM"
"x","0","6","MEDIUM"
"^",".","6","MEDIUM"
"e","n","6","MEDIUM"
"e","t","6","MEDIUM"
"v","e","6","MEDIUM"
"^","0","5","MEDIUM"
"r","+","5","MEDIUM"
"3",")","5","MEDIUM"
"m","M","5","MEDIUM"
")","+","5","MEDIUM"
"b","D","5","MEDIUM"
"n","+","5","MEDIUM"
"(","\","5","MEDIUM"
"+","x","5","MEDIUM"
",","1","5","MEDIUM"
"=","x","5","MEDIUM"
"(","-","5","MEDIUM"
"1","=","5","MEDIUM"
"/","1","5","MEDIUM"
"q","r","5","MEDIUM"
"t","x","5","MEDIUM"
"/","(","5","MEDIUM"
")","-","5","MEDIUM"
"-","1","5","MEDIUM"
"i","(","5","MEDIUM"
"n","\","5","MEDIUM"
"1","0","5","MEDIUM"
"^","=","5","MEDIUM"
"a","-","5","MEDIUM"
"n","t","5","MEDIUM"
"n","c","5","MEDIUM"
"x","c","5","MEDIUM"
"t","0","5","MEDIUM"
"p","P","5","MEDIUM"
"a","i","5","MEDIUM"
"[","(","5","MEDIUM"
")","*","5","MEDIUM"
"g","G","5","MEDIUM"
"u","U","5","MEDIUM"
"i","I","5","MEDIUM"
"(","u","5","MEDIUM"
"e","c","5","MEDIUM"
"2","^","4","MEDIUM"
"2","+","4","MEDIUM"
"s","5","4","MEDIUM"
"4",")","4","MEDIUM"
"(","+","4","MEDIUM"
"l","1","4","MEDIUM"
"a","O","4","MEDIUM"
"2","x","4","MEDIUM"
"+","^","4","MEDIUM"
"x",";","4","MEDIUM"
"a","(","4","MEDIUM"
"-","a","4","MEDIUM"
"y",")","4","MEDIUM"
"r","c","4","MEDIUM"
"x","t","4","MEDIUM"
"+","(","4","MEDIUM"
"-","x","4","MEDIUM"
"y","-","4","MEDIUM"
"s","i","4","MEDIUM"
")","3","4","MEDIUM"
"=","Y","4","MEDIUM"
"^","2","4","MEDIUM"
"=","0","4","MEDIUM"
"=","X","4","MEDIUM"
"+","1","4","MEDIUM"
"y","(","4","MEDIUM"
"2","1","4","MEDIUM"
"s","t","4","MEDIUM"
"2","a","4","MEDIUM"
"o","c","4","MEDIUM"
"^","i","4","MEDIUM"
"d","\","4","MEDIUM"
"d","p","4","MEDIUM"
")","^","4","MEDIUM"
")","n","4","MEDIUM"
"^","X","4","MEDIUM"
"*","i","4","MEDIUM"
"i","p","4","MEDIUM"
"+","i","4","MEDIUM"
"/","i","4","MEDIUM"
"1","-","4","MEDIUM"
"n","=","4","MEDIUM"
"=",")","4","MEDIUM"
"_","n","4","MEDIUM"
"n","o","4","MEDIUM"
"i","t","4","MEDIUM"
"^","a","4","MEDIUM"
"h","n","4","MEDIUM"
"s","c","4","MEDIUM"
"a","e","4","MEDIUM"
")","S","4","MEDIUM"
"i","e","4","MEDIUM"
"c","t","4","MEDIUM"
"s","e","4","MEDIUM"
"x","y","4","MEDIUM"
"s","1","4","MEDIUM"
"i",".","4","MEDIUM"
"(","0","4","MEDIUM"
"a","E","4","MEDIUM"
"e","I","4","MEDIUM"
"a","I","4","MEDIUM"
"b","B","4","MEDIUM"
"g","n","4","MEDIUM"
"r","s","4","MEDIUM"
"1",".","3","MEDIUM"
"4","*","3","MEDIUM"
"0","_","3","MEDIUM"
"*","x","3","MEDIUM"
"*","2","3","MEDIUM"
"1","*","3","MEDIUM"
"/",".","3","MEDIUM"
"+","4","3","MEDIUM"
",","2","3","MEDIUM"
"1","5","3","MEDIUM"
"4","/","3","MEDIUM"
"=","1","3","MEDIUM"
"2","?","3","MEDIUM"
"z","Z","3","MEDIUM"
"+","s","3","MEDIUM"
"1","z","3","MEDIUM"
"_","+","3","MEDIUM"
"-","4","3","MEDIUM"
"5",")","3","MEDIUM"
"2","-","3","MEDIUM"
"m","(","3","MEDIUM"
"+","n","3","MEDIUM"
"2","X","3","MEDIUM"
"^","x","3","MEDIUM"
"(","l","3","MEDIUM"
"=","4","3","MEDIUM"
"t","a","3","MEDIUM"
"2",";","3","MEDIUM"
"r","(","3","MEDIUM"
"-",")","3","MEDIUM"
"/","2","3","MEDIUM"
"/","*","3","MEDIUM"
"]","(","3","MEDIUM"
"x","s","3","MEDIUM"
"x","^","3","MEDIUM"
")","/","3","MEDIUM"
"c","=","3","MEDIUM"
"x","/","3","MEDIUM"
")","X","3","MEDIUM"
"s","\","3","MEDIUM"
"x","\","3","MEDIUM"
"_","i","3","MEDIUM"
"i","=","3","MEDIUM"
"(","3","3","MEDIUM"
"y","3","3","MEDIUM"
"a","p","3","MEDIUM"
"(","z","3","MEDIUM"
"z",")","3","MEDIUM"
"-","i","3","MEDIUM"
"_","j","3","MEDIUM"
"c","2","3","MEDIUM"
"o",")","3","MEDIUM"
"c","(","3","MEDIUM"
")","\","3","MEDIUM"
"(","C","3","MEDIUM"
"a","0","3","MEDIUM"
"r","\","3","MEDIUM"
"i","3","3","MEDIUM"
"^","t","3","MEDIUM"
"e","a","3","MEDIUM"
"a","m","3","MEDIUM"
"(","n","3","MEDIUM"
"n",")","3","MEDIUM"
"n","-","3","MEDIUM"
"2",".","3","MEDIUM"
"n","A","3","MEDIUM"
"t",")","3","MEDIUM"
"s",")","3","MEDIUM"
"s",".","3","MEDIUM"
"1","n","3","MEDIUM"
"e","0","3","MEDIUM"
"g",".","3","MEDIUM"
"a","\","3","MEDIUM"
"-","t","3","MEDIUM"
"i","o","3","MEDIUM"
"/","x","3","MEDIUM"
"r","t","3","MEDIUM"
"a","l","3","MEDIUM"
"i","y","3","MEDIUM"
"t","c","3","MEDIUM"
"n","a","3","MEDIUM"
"a","t","3","MEDIUM"
"n","2","3","MEDIUM"
"a","=","3","MEDIUM"
"]",",","3","MEDIUM"
"[","2","3","MEDIUM"
